eval_index,frame_original_index,mask_original_index,pred_path,gt_path,mask_path,pred_name,gt_name,mask_name,pred_stem,gt_stem,mask_stem,pred_orig_size,gt_orig_size,mask_orig_size,pred_gt_same_name,gt_mask_same_name,mask_ratio,hole_pixels,PSNR_all,PSNR_hole,SSIM_all,SSIM_hole,PSNR_nomask,SSIM_nomask,LPIPS,nonmask_dil30_ratio,PSNR_nonmask_dil30,SSIM_nonmask_dil30,hole_psnr_gt_all,jump_image,jump_mask,gt_original_index,aligned_pair
10,10,10,results/B_mask_20_30_reliability_inference/line_debug/0002_reliability.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00020.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000041.png,0002_reliability.png,00020.jpg,0000041.png,0002_reliability,00020,0000041,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2383270263671875,15619,4.385708025563169,2.776328656630544,0.020379528403282166,0.01308757159858942,5.042519808714373,0.024794718250632286,0.6928942799568176,0.241424560546875,3.1053863757799824,0.01855027675628662,False,0,0,10,pred[10] <-> gt[10] <-> mask[10]
11,11,11,results/B_mask_20_30_reliability_inference/line_debug/0002_soft.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00022.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000043.png,0002_soft.png,00022.jpg,0000043.png,0002_soft,00022,0000043,"[256, 256]","[256, 256]","[256, 256]",False,False,0.236785888671875,15518,4.304144008076394,3.689210223667605,0.019152730703353882,0.018432514742016792,4.514088028471909,0.020746173337101936,0.7218418121337891,0.3391265869140625,4.990477222319678,0.01922602206468582,False,0,0,11,pred[11] <-> gt[11] <-> mask[11]
12,12,12,results/B_mask_20_30_reliability_inference/frames/0003.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00024.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000049.png,0003.png,00024.jpg,0000049.png,0003,00024,0000049,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2552490234375,16728,12.895824618596215,10.498189668283192,0.4443952143192291,0.43172526359558105,14.159961184359906,0.46746474504470825,0.5246866941452026,0.352783203125,13.130755108259828,0.4443952143192291,False,0,0,12,pred[12] <-> gt[12] <-> mask[12]
13,13,13,results/B_mask_20_30_reliability_inference/line_debug/0003_center.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00026.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000058.png,0003_center.png,00026.jpg,0000058.png,0003_center,00026,0000058,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2100830078125,13768,4.468730713927593,3.1703334523882196,0.010280583053827286,0.010303579270839691,4.891108574955684,0.012892830185592175,0.8087981343269348,0.293182373046875,3.6905799774599135,0.010289284400641918,False,0,0,13,pred[13] <-> gt[13] <-> mask[13]
14,14,14,results/B_mask_20_30_reliability_inference/line_debug/0003_reliability.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00028.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000059.png,0003_reliability.png,00028.jpg,0000059.png,0003_reliability,00028,0000059,"[256, 256]","[256, 256]","[256, 256]",False,False,0.29742431640625,19492,4.717214597953704,4.457978781546367,0.020477445796132088,0.0205187126994133,4.831797340472516,0.019412601366639137,0.7971708178520203,0.4484710693359375,5.094576145328915,0.020477445796132088,False,0,0,14,pred[14] <-> gt[14] <-> mask[14]
15,15,15,results/B_mask_20_30_reliability_inference/line_debug/0003_soft.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00030.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000069.png,0003_soft.png,00030.jpg,0000069.png,0003_soft,00030,0000069,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2117156982421875,13875,4.882902115043129,4.003302773191089,0.018253179267048836,0.015022676438093185,5.152994423735262,0.019352849572896957,0.8090192675590515,0.2505645751953125,5.055958599611969,0.017099453136324883,False,0,0,15,pred[15] <-> gt[15] <-> mask[15]
16,16,16,results/B_mask_20_30_reliability_inference/frames/0004.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00032.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000076.png,0004.png,00032.jpg,0000076.png,0004,00032,0000076,"[256, 256]","[256, 256]","[256, 256]",False,False,0.240692138671875,15774,8.1075696743733,10.241532656668914,0.22775419056415558,0.2397102564573288,7.60354924230068,0.22588539123535156,0.7982405424118042,0.2500762939453125,8.44841831573777,0.2246297001838684,True,0,0,16,pred[16] <-> gt[16] <-> mask[16]
17,17,17,results/B_mask_20_30_reliability_inference/line_debug/0004_center.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00034.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000105.png,0004_center.png,00034.jpg,0000105.png,0004_center,00034,0000105,"[256, 256]","[256, 256]","[256, 256]",False,False,0.20184326171875,13228,5.109692107087746,4.99828133829976,0.012104693800210953,0.01487801969051361,5.1383253160195395,0.009553350508213043,0.8067628741264343,0.3353118896484375,5.036530800372772,0.012663071043789387,False,0,0,17,pred[17] <-> gt[17] <-> mask[17]
18,18,18,results/B_mask_20_30_reliability_inference/line_debug/0004_reliability.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00036.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000107.png,0004_reliability.png,00036.jpg,0000107.png,0004_reliability,00036,0000107,"[256, 256]","[256, 256]","[256, 256]",False,False,0.22149658203125,14516,5.436844606201205,4.329101655232953,0.019913138821721077,0.008123128674924374,5.811567845085614,0.02288159914314747,0.8137468695640564,0.1522674560546875,4.64915402161009,0.017246948555111885,False,0,0,18,pred[18] <-> gt[18] <-> mask[18]
19,19,19,results/B_mask_20_30_reliability_inference/line_debug/0004_soft.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00038.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000113.png,0004_soft.png,00038.jpg,0000113.png,0004_soft,00038,0000113,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2400665283203125,15733,5.702993425467434,4.598519851087383,0.01689125970005989,0.014849754981696606,6.119642692746238,0.021123748272657394,0.8089794516563416,0.3034210205078125,5.02710144266694,0.01640724390745163,False,0,0,19,pred[19] <-> gt[19] <-> mask[19]
